month,lat,lng,sla_bucket,orders
2026-05,12.93,77.7,QuickDelivery,23
2026-05,12.915,77.595,QuickDelivery,22
2026-05,13.035,77.61,NonQuickDelivery,21
2026-05,12.9,77.58,QuickDelivery,21
2026-05,12.885,77.625,QuickDelivery,21
2026-05,12.945,77.7,QuickDelivery,20
2026-05,13.035,77.565,NonQuickDelivery,20
2026-05,12.975,77.76,NonQuickDelivery,20
2026-05,12.96,77.655,NonQuickDelivery,20
2026-05,12.915,77.685,QuickDelivery,19
2026-05,12.93,77.535,NonQuickDelivery,19
2026-05,12.96,77.595,NonQuickDelivery,19
2026-05,12.93,77.685,QuickDelivery,18
2026-05,12.9,77.7,QuickDelivery,18
2026-05,13.035,77.595,NonQuickDelivery,17
2026-05,12.99,77.685,NonQuickDelivery,17
2026-05,13.02,77.625,NonQuickDelivery,16
2026-05,13.035,77.625,NonQuickDelivery,16
2026-05,13.02,77.67,NonQuickDelivery,16
2026-05,12.945,77.715,NonQuickDelivery,15
2026-05,12.945,77.565,NonQuickDelivery,15
2026-05,13.02,77.61,NonQuickDelivery,15
2026-05,12.9,77.685,QuickDelivery,15
2026-05,12.87,77.61,QuickDelivery,15
2026-05,12.885,77.595,QuickDelivery,15
2026-05,12.99,77.745,NonQuickDelivery,14
2026-05,12.885,77.67,QuickDelivery,14
2026-05,12.975,77.625,NonQuickDelivery,13
2026-05,12.93,77.55,NonQuickDelivery,13
2026-05,13.02,77.64,NonQuickDelivery,13
2026-05,12.96,77.7,NonQuickDelivery,12
2026-05,12.855,77.67,NonQuickDelivery,12
2026-05,12.87,77.64,QuickDelivery,11
2026-05,12.825,77.67,NonQuickDelivery,11
2026-05,12.87,77.655,QuickDelivery,11
2026-05,12.915,77.58,QuickDelivery,11
2026-05,12.96,77.64,NonQuickDelivery,11
2026-05,12.975,77.685,NonQuickDelivery,11
2026-05,13.05,77.64,NonQuickDelivery,10
2026-05,12.975,77.7,NonQuickDelivery,10
2026-05,12.945,77.61,NonQuickDelivery,10
2026-05,12.975,77.64,NonQuickDelivery,10
2026-05,12.975,77.715,NonQuickDelivery,9
